,event,logIndex,transactionIndex,address,blockNumber,sender,to,shares,amount0,amount1
0,Deposit,266,71,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,37204653,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,1641737392955685,2000000,0
1,Deposit,425,93,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,37204663,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,408751735672398564,498000000,0
2,Deposit,203,39,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,38096466,0x7e6eb2123463ca93BD0EF64bbcDde8dB16d77c42,0x7e6eb2123463ca93BD0EF64bbcDde8dB16d77c42,1629851336235025,2000000,0
3,Deposit,121,31,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,38472899,0x704dEc481caFb5EB1B978a59cc65C2161285d0A3,0x704dEc481caFb5EB1B978a59cc65C2161285d0A3,403307083784227683,500000000,0
4,Deposit,175,46,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,38832996,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,399996286931953032,504908478,0
5,Deposit,204,38,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,38876406,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,63627031039513704750,80000000000,0
6,Deposit,330,76,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,38877483,0x503F29BB3bcB7eE731C9019f50eF2F41E732c6A0,0x503F29BB3bcB7eE731C9019f50eF2F41E732c6A0,11922742341404566310,15000000000,0
7,Deposit,200,46,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,38925918,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,3968966606933049359,5000000000,0
8,Deposit,317,75,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,38972037,0x324e6160E23B1a5fd812C766C80646FFdCDf79C6,0x324e6160E23B1a5fd812C766C80646FFdCDf79C6,28116775334024130,35486152,0
9,Deposit,485,111,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,39108659,0x4Fe5f268e5053a05108eBAF13EbD9a825e6fB6f2,0x4Fe5f268e5053a05108eBAF13EbD9a825e6fB6f2,158860948518561924,200000000,0
10,Deposit,538,95,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,39108829,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,4068219650620388672,5124000001,0
11,Deposit,386,67,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,39109351,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,81853973153380306117,102590077345,0
12,Deposit,312,48,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,39109980,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,7953847975710511754,10000000000,0
13,Deposit,226,49,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,39466491,0xd3dcebaCD38F64c1cdE3F646f1732FE1885Aec63,0xd3dcebaCD38F64c1cdE3F646f1732FE1885Aec63,313308005274947339,400000000,0
14,Deposit,299,60,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,39510165,0x689C1Bc02669CdA4cad35e7C8580c3d71bFaD84E,0x689C1Bc02669CdA4cad35e7C8580c3d71bFaD84E,77937209659832580,100000000,0
15,Deposit,282,62,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,39558254,0x9a66576013cD45dE0261c9cBA282b31c4F04F20D,0x9a66576013cD45dE0261c9cBA282b31c4F04F20D,1291151865287324775,1651246446,0
16,Deposit,582,138,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,39778618,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,276251236699022852514,350000109935,0
17,Deposit,243,44,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,39813620,0x08baCa7De0f2D7859dce0830660d2A0518fDe179,0x08baCa7De0f2D7859dce0830660d2A0518fDe179,788485415341849065,1000000000,0
18,Deposit,618,56,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,39889356,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,210261485766723882799,267417023945,0
19,Deposit,359,63,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,40574110,0x2dDdb6a69f071313580073941a4491313303b1AB,0x2dDdb6a69f071313580073941a4491313303b1AB,2496862386309009727,3113865505,0
20,Deposit,441,114,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,40698096,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,440101596016631737,554318311,0
21,Deposit,328,72,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,40888746,0x5e6679522DEC0a0408ABB58C5cb21b358D7df107,0x5e6679522DEC0a0408ABB58C5cb21b358D7df107,79481241366839607,100000000,0
22,Deposit,131,40,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,40911466,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,439377324206395361,553005948,0
23,Deposit,203,65,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,40991090,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,438265245922511488,553445942,0
24,Deposit,148,36,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,41387028,0x7A28e7EAc7b5Ec02C090B5eBc37EFEe5c65794c1,0x7A28e7EAc7b5Ec02C090B5eBc37EFEe5c65794c1,7810168681810048,10000000,0
25,Deposit,132,24,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,41432740,0x2D56EDea537B0174F640197C21BeC2CADFAb1B5e,0x2D56EDea537B0174F640197C21BeC2CADFAb1B5e,1566354969546572851,2000000000,0
26,Deposit,158,46,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,41466620,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,441383037170170535,566392870,0
27,Deposit,585,147,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,41636129,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,915330865404282009,1191277335,0
28,Deposit,176,38,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,41675071,0x264D3c7a2F490f90991CC28ecd4cD09a6f73F649,0x264D3c7a2F490f90991CC28ecd4cD09a6f73F649,3872251642660704,5054868,0
29,Deposit,354,85,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,41943456,0x50fe1109188A0B666c4d78908E3E539D73F97E33,0x50fe1109188A0B666c4d78908E3E539D73F97E33,1585971266983169,2000000,0
