,event,logIndex,transactionIndex,address,blockNumber,sender,to,shares,amount0,amount1
0,Deposit,339,95,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,26550667,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,31827,0,31827
1,Deposit,165,48,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,26582457,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,22875,0,22875
2,Deposit,131,31,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,26924214,0x03000A0ECB1898040c26CD418570cd480775f0dA,0x03000A0ECB1898040c26CD418570cd480775f0dA,119947,0,119947
3,Deposit,64,20,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,26936601,0x18C6A47AcA1c6a237e53eD2fc3a8fB392c97169b,0x18C6A47AcA1c6a237e53eD2fc3a8fB392c97169b,791728,0,791728
4,Deposit,209,55,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,26941535,0x38920DAFf3cBb1F41D2f89C1dc94400D12f730dF,0x38920DAFf3cBb1F41D2f89C1dc94400D12f730dF,432633,0,432633
5,Deposit,50,12,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,26943932,0x18C6A47AcA1c6a237e53eD2fc3a8fB392c97169b,0x18C6A47AcA1c6a237e53eD2fc3a8fB392c97169b,233297,0,233297
6,Deposit,137,33,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,26944394,0xd99D1Ac478F801c69B30D0F28CA64Ce0Aca8B004,0xd99D1Ac478F801c69B30D0F28CA64Ce0Aca8B004,1002913,0,1002913
7,Deposit,174,44,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,26946672,0x38C2f7b7e62A806590830fFFF01E2f4676A669cd,0x38C2f7b7e62A806590830fFFF01E2f4676A669cd,199869,0,199869
8,Deposit,234,52,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,26968758,0x325B8F4d0b471575Ba9065e17a1a8f29689687Fc,0x325B8F4d0b471575Ba9065e17a1a8f29689687Fc,2797835,0,2797835
9,Deposit,328,66,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,26972760,0x8a60a11b8200E66Da0C79D4E53cC05fC8b999300,0x8a60a11b8200E66Da0C79D4E53cC05fC8b999300,23672,0,23672
10,Deposit,125,35,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,26996821,0x31520e9075D646f24745aF9d3BF7aCa85D36Be26,0x31520e9075D646f24745aF9d3BF7aCa85D36Be26,3136,0,3136
11,Deposit,148,37,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,28840717,0x12279b3B6A8C7631aE2De0085b60bc2329eA46a2,0x12279b3B6A8C7631aE2De0085b60bc2329eA46a2,5858363,0,5858363
12,Deposit,210,46,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,29095247,0xFc64410a03b205b995a9101f99a55026D8F1f1da,0xFc64410a03b205b995a9101f99a55026D8F1f1da,1159266,0,1159266
13,Deposit,121,36,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,29248253,0xFc64410a03b205b995a9101f99a55026D8F1f1da,0xFc64410a03b205b995a9101f99a55026D8F1f1da,5069912,0,5069912
14,Deposit,195,44,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,29248775,0xFc64410a03b205b995a9101f99a55026D8F1f1da,0xFc64410a03b205b995a9101f99a55026D8F1f1da,1483276,0,1483276
15,Deposit,209,45,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,29248943,0xbE61359a90EEA3Be6b8169Ac2A098B0945e1D556,0xbE61359a90EEA3Be6b8169Ac2A098B0945e1D556,159579,0,159579
16,Deposit,468,104,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,29298759,0xFc64410a03b205b995a9101f99a55026D8F1f1da,0xFc64410a03b205b995a9101f99a55026D8F1f1da,634411,0,641478
17,Deposit,163,32,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,29299002,0xFc64410a03b205b995a9101f99a55026D8F1f1da,0xFc64410a03b205b995a9101f99a55026D8F1f1da,2600476,0,2629444
18,Deposit,196,45,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,29327170,0x818C145C293c9E658C3e4248853a6B2E97AeE5Fe,0x818C145C293c9E658C3e4248853a6B2E97AeE5Fe,70575,0,71395
19,Deposit,208,47,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,29337588,0x51803f621c5e90011DE58b57fD5b7A92e0e39B08,0x51803f621c5e90011DE58b57fD5b7A92e0e39B08,20076336,0,20309800
20,Deposit,285,64,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,29337994,0xeeFD6537Adbda7b1A9Da3f6607dDA26b048489c2,0xeeFD6537Adbda7b1A9Da3f6607dDA26b048489c2,4800871,0,4856802
21,Deposit,135,41,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,29348541,0x562e22f5Cfa7b7A8c51369A8083b2441C27eb747,0x562e22f5Cfa7b7A8c51369A8083b2441C27eb747,130266261,0,131779490
22,Deposit,204,48,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,29375485,0xFc64410a03b205b995a9101f99a55026D8F1f1da,0xFc64410a03b205b995a9101f99a55026D8F1f1da,1005446,0,1017131
23,Deposit,205,56,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,29437556,0x562e22f5Cfa7b7A8c51369A8083b2441C27eb747,0x562e22f5Cfa7b7A8c51369A8083b2441C27eb747,21724330,0,21977723
24,Deposit,324,77,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,29458112,0x38C2f7b7e62A806590830fFFF01E2f4676A669cd,0x38C2f7b7e62A806590830fFFF01E2f4676A669cd,197563,0,199869
25,Deposit,138,32,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,29490743,0x12279b3B6A8C7631aE2De0085b60bc2329eA46a2,0x12279b3B6A8C7631aE2De0085b60bc2329eA46a2,34416151,0,34819303
26,Deposit,132,28,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,31290961,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,180649707,0,199587835
27,Deposit,187,45,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,31399595,0xCB6222f4Df04385ea08E8DA2A5871131FF5F6cBA,0xCB6222f4Df04385ea08E8DA2A5871131FF5F6cBA,388708,0,430206
28,Deposit,232,38,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,34225930,0x3Bf12feAf4ebb3755c432EB1F47525F02EB2906C,0x3Bf12feAf4ebb3755c432EB1F47525F02EB2906C,30275,0,35724
29,Deposit,201,49,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,34244699,0x3Bf12feAf4ebb3755c432EB1F47525F02EB2906C,0x3Bf12feAf4ebb3755c432EB1F47525F02EB2906C,30287,0,35736
30,Deposit,163,66,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,34269393,0x3Bf12feAf4ebb3755c432EB1F47525F02EB2906C,0x3Bf12feAf4ebb3755c432EB1F47525F02EB2906C,30480,0,35925
31,Deposit,190,39,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,34307038,0x3Bf12feAf4ebb3755c432EB1F47525F02EB2906C,0x3Bf12feAf4ebb3755c432EB1F47525F02EB2906C,30567,0,36030
32,Deposit,254,40,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,34348781,0x3Bf12feAf4ebb3755c432EB1F47525F02EB2906C,0x3Bf12feAf4ebb3755c432EB1F47525F02EB2906C,30721,0,36267
33,Deposit,285,70,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,34354854,0x3Bf12feAf4ebb3755c432EB1F47525F02EB2906C,0x3Bf12feAf4ebb3755c432EB1F47525F02EB2906C,520416,0,614786
34,Deposit,165,33,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,34390364,0x3Bf12feAf4ebb3755c432EB1F47525F02EB2906C,0x3Bf12feAf4ebb3755c432EB1F47525F02EB2906C,33464,0,39576
35,Deposit,553,77,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,34432503,0x3Bf12feAf4ebb3755c432EB1F47525F02EB2906C,0x3Bf12feAf4ebb3755c432EB1F47525F02EB2906C,30956,0,36609
36,Deposit,73,15,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,34473223,0x3Bf12feAf4ebb3755c432EB1F47525F02EB2906C,0x3Bf12feAf4ebb3755c432EB1F47525F02EB2906C,30440,0,35921
37,Deposit,745,29,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,34512511,0x3Bf12feAf4ebb3755c432EB1F47525F02EB2906C,0x3Bf12feAf4ebb3755c432EB1F47525F02EB2906C,30978,0,36638
38,Deposit,419,121,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,34557184,0x3Bf12feAf4ebb3755c432EB1F47525F02EB2906C,0x3Bf12feAf4ebb3755c432EB1F47525F02EB2906C,31014,0,36672
39,Deposit,116,28,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,34597415,0x3Bf12feAf4ebb3755c432EB1F47525F02EB2906C,0x3Bf12feAf4ebb3755c432EB1F47525F02EB2906C,31139,0,36948
40,Deposit,78,18,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,34636103,0x3Bf12feAf4ebb3755c432EB1F47525F02EB2906C,0x3Bf12feAf4ebb3755c432EB1F47525F02EB2906C,31014,0,36837
41,Deposit,119,34,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,34675643,0x3Bf12feAf4ebb3755c432EB1F47525F02EB2906C,0x3Bf12feAf4ebb3755c432EB1F47525F02EB2906C,30894,0,36671
42,Deposit,648,131,0x4aEF5144131dB95c110af41c8Ec09f46295a7C4B,36693886,0x7e6eb2123463ca93BD0EF64bbcDde8dB16d77c42,0x7e6eb2123463ca93BD0EF64bbcDde8dB16d77c42,17238,0,21058
