,event,logIndex,transactionIndex,address,blockNumber,sender,to,shares,amount0,amount1
0,Deposit,251,47,0x692437de2cAe5addd26CCF6650CaD722d914d974,39590712,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,45645719690152,10000000000000000,0
1,Deposit,590,130,0x692437de2cAe5addd26CCF6650CaD722d914d974,39596440,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,4080356806102057881,902000000000000000000,0
2,Deposit,182,57,0x692437de2cAe5addd26CCF6650CaD722d914d974,39786201,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,2237215255817231294,500000000000000000000,0
3,Deposit,103,24,0x692437de2cAe5addd26CCF6650CaD722d914d974,39920989,0x18C6A47AcA1c6a237e53eD2fc3a8fB392c97169b,0x18C6A47AcA1c6a237e53eD2fc3a8fB392c97169b,410144415780732274,92000000000000000000,0
4,Deposit,235,61,0x692437de2cAe5addd26CCF6650CaD722d914d974,40309088,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,65218518094707176425,14786000000000000000000,0
5,Deposit,242,60,0x692437de2cAe5addd26CCF6650CaD722d914d974,40738564,0x9A58027d612e1FB991C477c753Bef295f943A477,0x9A58027d612e1FB991C477c753Bef295f943A477,5437353014017328,1245000000000000000,0
6,Deposit,392,93,0x692437de2cAe5addd26CCF6650CaD722d914d974,40791721,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,5957816270801226131,1369940557403800743772,0
7,Deposit,178,38,0x692437de2cAe5addd26CCF6650CaD722d914d974,40870158,0xFC5A720B05DB97C4eA318F17CE8028a399EC2429,0xFC5A720B05DB97C4eA318F17CE8028a399EC2429,10830530216784127,2500000000000000000,0
8,Deposit,437,42,0x692437de2cAe5addd26CCF6650CaD722d914d974,41027372,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,30587704450501195326,7000000000000000000000,0
9,Deposit,262,61,0x692437de2cAe5addd26CCF6650CaD722d914d974,41225614,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,15154827062719688011,3500000000000000000000,0
10,Deposit,152,45,0x692437de2cAe5addd26CCF6650CaD722d914d974,41414734,0x5b9Ba1bf76EC0ecf56AF70e918C95debb1811FA9,0x5b9Ba1bf76EC0ecf56AF70e918C95debb1811FA9,1473159245157851083,340000000000000000000,0
11,Deposit,372,74,0x692437de2cAe5addd26CCF6650CaD722d914d974,41655587,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,2184354588210458934,500000000000000000000,0
12,Deposit,148,45,0x692437de2cAe5addd26CCF6650CaD722d914d974,41675858,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,4422129709834692852,1000000000000000000000,0
13,Deposit,169,35,0x692437de2cAe5addd26CCF6650CaD722d914d974,41685374,0x39196C9E212a92f3f43Fba6b94203C64EFb7C546,0x39196C9E212a92f3f43Fba6b94203C64EFb7C546,22148905318126745,5000000000000000000,0
