n_row,block_number,vault_addr,token0_symbol,token1_symbol,token0_amount,token1_amount,allowed_token,total_amount_in_token,total_supply_scaled,vault_token_ratio,amount_per_share,amount,shares,diff_ratio
0,39589655,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,WMATIC,WETH,0.1,0.0,token0,0.1,8.3144501529741e-05,1202.7253535728967,1202.7253535728967,100000000000000000,83144501529741,0.0
1,39596382,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,WMATIC,WETH,4260.1,0.0,token0,4260.1,3.528605688694433,1207.3040673400424,1207.3041752307727,4260000000000000000000,3528522544192902924,-0.00010789073030537111
2,39786283,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,WMATIC,WETH,6701.723701096759,0.2051846614985559,token0,6973.694746920374,5.753448828903497,1212.089470907736,1213.4819299269222,2699806947565568950867,2224843140209063974,-1.3924590191861625
3,39786518,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,WMATIC,WETH,7397.2251638545895,0.218337890556658,token0,7686.515003101321,6.341012577115483,1212.1904679454058,1213.4561181518948,712982825072093893541,587563748211986018,-1.2656502064889992
4,39787107,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,WMATIC,WETH,7479.457090970864,0.19287237113876488,token0,7735.159402101534,6.380514149275751,1212.3097325909932,1213.4025939007668,509577323398956847776,419957338117105260,-1.0928613097735251
5,39866964,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,WMATIC,WETH,7583.758629657578,0.1931482610046142,token0,7843.800473458939,6.46279296023497,1213.6858664235717,1215.3644552581097,99998742260736756774,82278810959219464,-1.6785888345380044
6,40308875,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,WMATIC,WETH,91302.61617871006,0.7056962679043559,token0,92302.12788367645,74.9942340107808,1230.7896613812677,1231.1137589792156,84370000000000000000000,68531441050545827083,-0.3240975979479117
7,40574178,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,WMATIC,WETH,101876.01550236066,4.0590498258512895,token0,108197.9553482344,86.68061646041954,1248.237031143407,1249.3173197879835,14600000000000000000000,11686382449638741476,-1.0802886445765125
8,40651794,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,WMATIC,WETH,90930.08165578547,12.468967510787659,token0,110385.39191688903,88.27041727882673,1250.5366499877982,1258.0192291030453,2000000000000000000000,1589800818407186960,-7.482579115247063
9,40689761,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,WMATIC,WETH,135582.86589012988,5.712897008718427,token0,144792.05422479895,115.34540980828956,1255.2909948081276,1255.7713529561058,34000000000000000000000,27074992529462831789,-0.4803581479782224
10,40721888,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,WMATIC,WETH,162867.54789237547,5.302391267742011,token0,171418.42058483828,136.42772515611367,1256.4778925155053,1256.9776878294842,26500000000000000000000,21082315347824109501,-0.4997953139788933
11,40722351,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,WMATIC,WETH,190521.29066183997,6.526730891083003,token0,201028.711135362,159.97001785184725,1256.6649290590215,1258.3805721512779,29625163752210074058162,23542292695733580931,-1.715643092256414
12,40791756,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,WMATIC,WETH,154450.10780074532,9.081820636179085,token0,169050.52763002418,134.40884176572993,1257.7336833589677,1258.6869254276237,8951370595442433766545,7111673613675866401,-0.9532420686559817
13,40953510,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,WMATIC,WETH,155618.69003347406,9.826239959465491,token0,171723.70947582813,135.99054746721725,1262.7621012940251,1264.4577294748087,2000000000000000000000,1581705701487307035,-1.6956281807836149
14,41027954,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,WMATIC,WETH,197696.76136742832,8.603337612058022,token0,211824.2827080125,167.63000098650195,1263.6418389394937,1264.0519234015171,39993912076424754054622,31639453519284720650,-0.41008446202340565
15,41028922,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,WMATIC,WETH,217661.58312162742,8.622989457138884,token0,231822.79069197353,183.45387175653374,1263.6571170306581,1263.8880565890404,19999601275251592434805,15823870770031783537,-0.23093955838226066
16,41098817,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,WMATIC,WETH,212232.17852860814,12.022859109078574,token0,231880.355207935,183.46177643418395,1263.9164392432501,1265.0737250175555,10000000000000000000,7904677650198790,-1.1572857743053646
17,41168629,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,WMATIC,WETH,211255.3076928876,12.710672300601933,token0,232360.43402158783,183.50125918477022,1266.2607060784285,1266.3758035490416,50000000000000000000,39482750586258892,-0.11509747061313647
18,41168649,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,WMATIC,WETH,211354.45138356267,12.681089444854603,token0,232410.4575797518,183.5407419296693,1266.2608592309646,1266.3759859594138,50000000000000000000,39482744899114389,-0.11512672844924055
19,41226210,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,WMATIC,WETH,242185.7660273435,9.291743799399487,token0,257784.65478332873,203.4025762204604,1267.3617983280883,1268.7494464772105,25199691262463239952665,19861834290791060593,-1.387648149122242
20,41414789,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,WMATIC,WETH,202515.5433849192,8.013462446751172,token0,216149.93913204255,170.3431990341467,1268.908534990666,1269.2852209931928,2284997370511732361933,1800223726487387221,-0.37668600252663964
21,41420622,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,WMATIC,WETH,251510.62447570002,8.607818454530417,token0,266137.25306844525,209.68704697108862,1269.2116986374456,1270.8467173860865,50000000000000000000000,39343847936941926503,-1.6350187486409595
