,event,logIndex,transactionIndex,address,blockNumber,sender,to,shares,amount0,amount1
0,Deposit,218,35,0x711901e4b9136119Fb047ABe8c43D49339f161c3,28936150,0x6fFEE308f440312D4dFD52275526506cc3554886,0x6fFEE308f440312D4dFD52275526506cc3554886,5042621652,0,5042621652
1,Deposit,130,32,0x711901e4b9136119Fb047ABe8c43D49339f161c3,28941155,0xfa8bcd6B7881fe357D1B862Da095007007f2648a,0xfa8bcd6B7881fe357D1B862Da095007007f2648a,39994904514,0,39994904514
2,Deposit,379,68,0x711901e4b9136119Fb047ABe8c43D49339f161c3,29050863,0xeeFD6537Adbda7b1A9Da3f6607dDA26b048489c2,0xeeFD6537Adbda7b1A9Da3f6607dDA26b048489c2,1697850402,0,1697850402
3,Deposit,215,33,0x711901e4b9136119Fb047ABe8c43D49339f161c3,29050952,0xeeFD6537Adbda7b1A9Da3f6607dDA26b048489c2,0xeeFD6537Adbda7b1A9Da3f6607dDA26b048489c2,101871024,0,101871024
4,Deposit,236,36,0x711901e4b9136119Fb047ABe8c43D49339f161c3,29095385,0xFc64410a03b205b995a9101f99a55026D8F1f1da,0xFc64410a03b205b995a9101f99a55026D8F1f1da,406592395,0,406592395
5,Deposit,134,35,0x711901e4b9136119Fb047ABe8c43D49339f161c3,29137870,0x18C6A47AcA1c6a237e53eD2fc3a8fB392c97169b,0x18C6A47AcA1c6a237e53eD2fc3a8fB392c97169b,183686383,0,183686383
6,Deposit,140,30,0x711901e4b9136119Fb047ABe8c43D49339f161c3,29248991,0xbE61359a90EEA3Be6b8169Ac2A098B0945e1D556,0xbE61359a90EEA3Be6b8169Ac2A098B0945e1D556,130183901,0,130183901
7,Deposit,395,84,0x711901e4b9136119Fb047ABe8c43D49339f161c3,29298625,0xFc64410a03b205b995a9101f99a55026D8F1f1da,0xFc64410a03b205b995a9101f99a55026D8F1f1da,397191521,0,404011850
8,Deposit,251,54,0x711901e4b9136119Fb047ABe8c43D49339f161c3,29304226,0xfa8bcd6B7881fe357D1B862Da095007007f2648a,0xfa8bcd6B7881fe357D1B862Da095007007f2648a,9528273398,0,9707854095
9,Deposit,285,40,0x711901e4b9136119Fb047ABe8c43D49339f161c3,29304279,0xfa8bcd6B7881fe357D1B862Da095007007f2648a,0xfa8bcd6B7881fe357D1B862Da095007007f2648a,49292934383,0,50221965189
10,Deposit,217,44,0x711901e4b9136119Fb047ABe8c43D49339f161c3,29320426,0xC1C515f7A74b5667Bc1B65B2f74F46B3d49Bc641,0xC1C515f7A74b5667Bc1B65B2f74F46B3d49Bc641,103021881,0,105025366
11,Deposit,327,63,0x711901e4b9136119Fb047ABe8c43D49339f161c3,29375783,0xeeFD6537Adbda7b1A9Da3f6607dDA26b048489c2,0xeeFD6537Adbda7b1A9Da3f6607dDA26b048489c2,594963982,0,606472163
12,Deposit,222,48,0x711901e4b9136119Fb047ABe8c43D49339f161c3,29465755,0xFc64410a03b205b995a9101f99a55026D8F1f1da,0xFc64410a03b205b995a9101f99a55026D8F1f1da,212935842,0,216345704
13,Deposit,315,50,0x711901e4b9136119Fb047ABe8c43D49339f161c3,29547964,0xFc64410a03b205b995a9101f99a55026D8F1f1da,0xFc64410a03b205b995a9101f99a55026D8F1f1da,484609903,0,454951917
14,Deposit,193,34,0x711901e4b9136119Fb047ABe8c43D49339f161c3,31290999,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,35370858435,0,40820000000
15,Deposit,201,51,0x711901e4b9136119Fb047ABe8c43D49339f161c3,32743762,0x28C974C18C6553B445c4B77F35D83F3499ACF58f,0x28C974C18C6553B445c4B77F35D83F3499ACF58f,173871,0,210258
16,Deposit,131,29,0x711901e4b9136119Fb047ABe8c43D49339f161c3,32900710,0x28C974C18C6553B445c4B77F35D83F3499ACF58f,0x28C974C18C6553B445c4B77F35D83F3499ACF58f,40822,0,51017
17,Deposit,137,34,0x711901e4b9136119Fb047ABe8c43D49339f161c3,33450812,0x38C2f7b7e62A806590830fFFF01E2f4676A669cd,0x38C2f7b7e62A806590830fFFF01E2f4676A669cd,23849025,0,29441412
18,Deposit,277,46,0x711901e4b9136119Fb047ABe8c43D49339f161c3,33651563,0x8E5169ed1D65EC5Fd4D18D10C08d16d6e0313f1d,0x8E5169ed1D65EC5Fd4D18D10C08d16d6e0313f1d,809175218,0,1000000000
19,Deposit,163,35,0x711901e4b9136119Fb047ABe8c43D49339f161c3,33671268,0x2ecdA5574e4AE1b257Eb439Bc9930fb3aebeF53A,0x2ecdA5574e4AE1b257Eb439Bc9930fb3aebeF53A,37650071,0,46314831
20,Deposit,211,50,0x711901e4b9136119Fb047ABe8c43D49339f161c3,33723799,0x8E5169ed1D65EC5Fd4D18D10C08d16d6e0313f1d,0x8E5169ed1D65EC5Fd4D18D10C08d16d6e0313f1d,800333852,0,1000000000
21,Deposit,309,56,0x711901e4b9136119Fb047ABe8c43D49339f161c3,33805077,0xc7eD7Bf2A126983DFde425126b03693D40477Ba7,0xc7eD7Bf2A126983DFde425126b03693D40477Ba7,801048752,0,1000000000
22,Deposit,163,42,0x711901e4b9136119Fb047ABe8c43D49339f161c3,33945241,0x8E5169ed1D65EC5Fd4D18D10C08d16d6e0313f1d,0x8E5169ed1D65EC5Fd4D18D10C08d16d6e0313f1d,1592420896,0,1999867360
23,Deposit,386,87,0x711901e4b9136119Fb047ABe8c43D49339f161c3,34005887,0x58276a30492E7A6c9ED46726714F7425Ae3dfd1f,0x58276a30492E7A6c9ED46726714F7425Ae3dfd1f,797075184,0,1004500000
24,Deposit,170,38,0x711901e4b9136119Fb047ABe8c43D49339f161c3,34147055,0x8E5169ed1D65EC5Fd4D18D10C08d16d6e0313f1d,0x8E5169ed1D65EC5Fd4D18D10C08d16d6e0313f1d,1560220839,0,1965851930
25,Deposit,198,50,0x711901e4b9136119Fb047ABe8c43D49339f161c3,34189020,0x8E5169ed1D65EC5Fd4D18D10C08d16d6e0313f1d,0x8E5169ed1D65EC5Fd4D18D10C08d16d6e0313f1d,2379168351,0,2992793445
