,event,logIndex,transactionIndex,address,blockNumber,sender,to,shares,amount0,amount1
0,Deposit,390,90,0x74F9d8861D42Ac09759aDE7809A67cF053dc7bA5,39589713,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,170328011425400,200000000000000000,0
1,Deposit,241,63,0x74F9d8861D42Ac09759aDE7809A67cF053dc7bA5,39596229,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,4213647893432114766,4970000000000000000000,0
2,Deposit,151,46,0x74F9d8861D42Ac09759aDE7809A67cF053dc7bA5,39786269,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,4009993854857462607,4800000000000000000000,0
3,Deposit,248,49,0x74F9d8861D42Ac09759aDE7809A67cF053dc7bA5,40116714,0x8B2eF0C44aC3F5F6bb9BF1d08163aB34F3782538,0x8B2eF0C44aC3F5F6bb9BF1d08163aB34F3782538,81831975619724705,100000000000000000000,0
4,Deposit,496,113,0x74F9d8861D42Ac09759aDE7809A67cF053dc7bA5,40302785,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,972914822329223430,1210381989861563904054,0
5,Deposit,331,76,0x74F9d8861D42Ac09759aDE7809A67cF053dc7bA5,40306240,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,163942288718658440,203000000000000000000,0
6,Deposit,156,33,0x74F9d8861D42Ac09759aDE7809A67cF053dc7bA5,40309260,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,3017562058211820305,3750000000000000000000,0
7,Deposit,324,84,0x74F9d8861D42Ac09759aDE7809A67cF053dc7bA5,40338848,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,13006327405008197794,16245855098737285619865,0
8,Deposit,240,74,0x74F9d8861D42Ac09759aDE7809A67cF053dc7bA5,40697775,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,389926739500462097,500000000000000000000,0
9,Deposit,320,60,0x74F9d8861D42Ac09759aDE7809A67cF053dc7bA5,40717384,0x9A58027d612e1FB991C477c753Bef295f943A477,0x9A58027d612e1FB991C477c753Bef295f943A477,6681994395112999,8555133000000000000,0
10,Deposit,203,55,0x74F9d8861D42Ac09759aDE7809A67cF053dc7bA5,40870312,0xFC5A720B05DB97C4eA318F17CE8028a399EC2429,0xFC5A720B05DB97C4eA318F17CE8028a399EC2429,15583838037758845,20000000000000000000,0
11,Deposit,234,50,0x74F9d8861D42Ac09759aDE7809A67cF053dc7bA5,40900594,0x5C896daEe57fecF222AfA78B0e33321085F8cc3A,0x5C896daEe57fecF222AfA78B0e33321085F8cc3A,91726964682108087,117674981199617196032,0
12,Deposit,181,49,0x74F9d8861D42Ac09759aDE7809A67cF053dc7bA5,41026982,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,8104745599426113985,10472899750087071198037,0
13,Deposit,365,81,0x74F9d8861D42Ac09759aDE7809A67cF053dc7bA5,41213077,0xA77CCc357D0370c0990bfaE0D64F16Ef8F860d79,0xA77CCc357D0370c0990bfaE0D64F16Ef8F860d79,34793352228936809,45000000000000000000,0
14,Deposit,390,75,0x74F9d8861D42Ac09759aDE7809A67cF053dc7bA5,41225420,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,9246030855065652738,12000000000000000000000,0
15,Deposit,155,37,0x74F9d8861D42Ac09759aDE7809A67cF053dc7bA5,41297520,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,15361153351913076840,20000000000000000000000,0
16,Deposit,431,81,0x74F9d8861D42Ac09759aDE7809A67cF053dc7bA5,41414673,0x5b9Ba1bf76EC0ecf56AF70e918C95debb1811FA9,0x5b9Ba1bf76EC0ecf56AF70e918C95debb1811FA9,1535985677098641763,2000000000000000000000,0
17,Deposit,309,44,0x74F9d8861D42Ac09759aDE7809A67cF053dc7bA5,41419700,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,3072552732070649497,4000000000000000000001,0
18,Deposit,91,23,0x74F9d8861D42Ac09759aDE7809A67cF053dc7bA5,41420543,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,12064393992092658550,15704501168184052272422,0
19,Deposit,204,44,0x74F9d8861D42Ac09759aDE7809A67cF053dc7bA5,41547767,0x210c09B2390ee03Ee86dD8bb736BDA2F31AaB57F,0x210c09B2390ee03Ee86dD8bb736BDA2F31AaB57F,76458116267453,100000000000000000,0
20,Deposit,168,53,0x74F9d8861D42Ac09759aDE7809A67cF053dc7bA5,41548579,0x210c09B2390ee03Ee86dD8bb736BDA2F31AaB57F,0x210c09B2390ee03Ee86dD8bb736BDA2F31AaB57F,76387606330320,100000000000000000,0
21,Deposit,174,43,0x74F9d8861D42Ac09759aDE7809A67cF053dc7bA5,41714723,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,1471349749929105801,1930885331216337934304,0
