,event,logIndex,transactionIndex,address,blockNumber,sender,to,shares,amount0,amount1
0,Deposit,570,148,0xB05bE549a570e430e5ddE4A10a0d34cf09a7df21,40308016,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,600000000000000,0,600000000000000
1,Deposit,195,36,0xB05bE549a570e430e5ddE4A10a0d34cf09a7df21,40354915,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,998537883432534330,0,1000000000000000000
2,Deposit,280,78,0xB05bE549a570e430e5ddE4A10a0d34cf09a7df21,40355101,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,29956139221359031586,0,30000000000000000000
3,Deposit,314,64,0xB05bE549a570e430e5ddE4A10a0d34cf09a7df21,40358684,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,199665726393819,0,200000000000000
4,Deposit,253,51,0xB05bE549a570e430e5ddE4A10a0d34cf09a7df21,40378418,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,24190564996752696844,0,24280000000000000000
5,Deposit,409,98,0xB05bE549a570e430e5ddE4A10a0d34cf09a7df21,40836736,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,313190655852966768,0,313227954929211115
6,Deposit,419,115,0xB05bE549a570e430e5ddE4A10a0d34cf09a7df21,40921360,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,503568005240483,0,500000000000000
7,Deposit,436,105,0xB05bE549a570e430e5ddE4A10a0d34cf09a7df21,41410467,0x7A28e7EAc7b5Ec02C090B5eBc37EFEe5c65794c1,0x7A28e7EAc7b5Ec02C090B5eBc37EFEe5c65794c1,10553391012504578,0,10324987489587974
8,Deposit,403,83,0xB05bE549a570e430e5ddE4A10a0d34cf09a7df21,41410711,0x7A28e7EAc7b5Ec02C090B5eBc37EFEe5c65794c1,0x7A28e7EAc7b5Ec02C090B5eBc37EFEe5c65794c1,10224876105922419,0,10000000000000000
9,Deposit,535,134,0xB05bE549a570e430e5ddE4A10a0d34cf09a7df21,41674345,0x264D3c7a2F490f90991CC28ecd4cD09a6f73F649,0x264D3c7a2F490f90991CC28ecd4cD09a6f73F649,10446805989910543,0,10000000000000000
10,Deposit,347,39,0xB05bE549a570e430e5ddE4A10a0d34cf09a7df21,41714821,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,299688478587319017,0,289354985362075974
11,Deposit,299,64,0xB05bE549a570e430e5ddE4A10a0d34cf09a7df21,41835556,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,617625643781006327,0,598924682495652382
12,Deposit,154,30,0xB05bE549a570e430e5ddE4A10a0d34cf09a7df21,42064684,0xA5cE107711789b350e04063D4EffBe6aB6eB05a4,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,102922822555382,0,100000000000000
