,event,logIndex,transactionIndex,address,blockNumber,sender,to,shares,amount0,amount1
0,Deposit,186,54,0xf3De925524cE6bBa606107CFCB2A7A6259CD01EA,39589923,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,100471149030358,100000000000000000,0
1,Deposit,252,56,0xf3De925524cE6bBa606107CFCB2A7A6259CD01EA,39591492,0xdbc47822A6Fa5a6C03cC8Df2A4f2178Ae47b8aE8,0xdbc47822A6Fa5a6C03cC8Df2A4f2178Ae47b8aE8,200400512684146718,200000000000000000000,0
2,Deposit,348,91,0xf3De925524cE6bBa606107CFCB2A7A6259CD01EA,39596192,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,4175517181728431887,4168000000000000000000,0
3,Deposit,334,92,0xf3De925524cE6bBa606107CFCB2A7A6259CD01EA,39786186,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,1484555720933886083,1500000000000000000000,0
4,Deposit,153,38,0xf3De925524cE6bBa606107CFCB2A7A6259CD01EA,39918740,0x18C6A47AcA1c6a237e53eD2fc3a8fB392c97169b,0x18C6A47AcA1c6a237e53eD2fc3a8fB392c97169b,104658181866718724,106149153806981883497,0
5,Deposit,315,88,0xf3De925524cE6bBa606107CFCB2A7A6259CD01EA,40017232,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,986822557768844302,1000000000000000000000,0
6,Deposit,193,41,0xf3De925524cE6bBa606107CFCB2A7A6259CD01EA,40302770,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,1553634743289411413,1663332678576198542904,0
7,Deposit,316,63,0xf3De925524cE6bBa606107CFCB2A7A6259CD01EA,40309033,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,73935653514579258411,79055000000000000000000,0
8,Deposit,201,43,0xf3De925524cE6bBa606107CFCB2A7A6259CD01EA,41037926,0x002AD2250A485662dB2E3d1D8c0930bB7c740791,0x002AD2250A485662dB2E3d1D8c0930bB7c740791,824517700211952558,920977900000000000000,0
9,Deposit,117,34,0xf3De925524cE6bBa606107CFCB2A7A6259CD01EA,41387583,0x7A28e7EAc7b5Ec02C090B5eBc37EFEe5c65794c1,0x7A28e7EAc7b5Ec02C090B5eBc37EFEe5c65794c1,8718347121208349,9872218566131742545,0
10,Deposit,281,68,0xf3De925524cE6bBa606107CFCB2A7A6259CD01EA,42078750,0xA5cE107711789b350e04063D4EffBe6aB6eB05a4,0x811cdFA06018b2160DA4965577898884DabB6B78,21227000807691825,26766212844113623320,0
11,Deposit,309,63,0xf3De925524cE6bBa606107CFCB2A7A6259CD01EA,42176456,0xA5cE107711789b350e04063D4EffBe6aB6eB05a4,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,3600248624724536678,4492578475176965529287,0
