,event,logIndex,transactionIndex,address,blockNumber,sender,to,shares,amount0,amount1
0,Deposit,239,67,0xf461063819fFBC6e22704aDe1861B0dF3BaC9585,39589945,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,0x11111D16485aa71D2f2BfFBD294DCACbaE79c1d4,20000000000000000,0,20000000000000000
1,Deposit,271,61,0xf461063819fFBC6e22704aDe1861B0dF3BaC9585,39596306,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,1194000000000000000000,0,1194000000000000000000
2,Deposit,433,93,0xf461063819fFBC6e22704aDe1861B0dF3BaC9585,39786174,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,99678322046709448698,0,100000000000000000000
3,Deposit,146,39,0xf461063819fFBC6e22704aDe1861B0dF3BaC9585,40308725,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,14822652700689489548396,0,15143000000000000000000
4,Deposit,104,31,0xf461063819fFBC6e22704aDe1861B0dF3BaC9585,40738484,0x9A58027d612e1FB991C477c753Bef295f943A477,0x9A58027d612e1FB991C477c753Bef295f943A477,1325101061749711073,0,1371000000000000000
5,Deposit,405,74,0xf461063819fFBC6e22704aDe1861B0dF3BaC9585,40870220,0xFC5A720B05DB97C4eA318F17CE8028a399EC2429,0xFC5A720B05DB97C4eA318F17CE8028a399EC2429,1416471874109931109,0,1460000000000000000
6,Deposit,232,43,0xf461063819fFBC6e22704aDe1861B0dF3BaC9585,41533423,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,3288159140525170810836,0,3500000000000000000000
7,Deposit,244,67,0xf461063819fFBC6e22704aDe1861B0dF3BaC9585,41545064,0x210c09B2390ee03Ee86dD8bb736BDA2F31AaB57F,0x210c09B2390ee03Ee86dD8bb736BDA2F31AaB57F,93905133854713196,0,100000000000000000
8,Deposit,303,65,0xf461063819fFBC6e22704aDe1861B0dF3BaC9585,41545712,0x210c09B2390ee03Ee86dD8bb736BDA2F31AaB57F,0x210c09B2390ee03Ee86dD8bb736BDA2F31AaB57F,9390513385194823,0,10000000000000000
9,Deposit,136,41,0xf461063819fFBC6e22704aDe1861B0dF3BaC9585,41674306,0x264D3c7a2F490f90991CC28ecd4cD09a6f73F649,0x264D3c7a2F490f90991CC28ecd4cD09a6f73F649,1377081660983850577,0,1468924245004162202
10,Deposit,200,60,0xf461063819fFBC6e22704aDe1861B0dF3BaC9585,41674725,0x264D3c7a2F490f90991CC28ecd4cD09a6f73F649,0x264D3c7a2F490f90991CC28ecd4cD09a6f73F649,1376319619394147521,0,1468111385144721546
11,Deposit,54,17,0xf461063819fFBC6e22704aDe1861B0dF3BaC9585,41675421,0x264D3c7a2F490f90991CC28ecd4cD09a6f73F649,0x264D3c7a2F490f90991CC28ecd4cD09a6f73F649,3749905160014712640,0,4000000000000000000
12,Deposit,318,22,0xf461063819fFBC6e22704aDe1861B0dF3BaC9585,41714985,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,0x12C7824845440DA1B0eBfcB33E15CCDB07bceA63,561501338572758655057,0,600000000000000000000
13,Deposit,361,40,0xf461063819fFBC6e22704aDe1861B0dF3BaC9585,41716964,0xA359b2ce51108658D15764fC5eBfAB03803f1D92,0xA359b2ce51108658D15764fC5eBfAB03803f1D92,467888907956450360268,0,500000000000000000000
14,Deposit,165,45,0xf461063819fFBC6e22704aDe1861B0dF3BaC9585,41797850,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,4668814158567628642991,0,5000000000000000000000
15,Deposit,147,37,0xf461063819fFBC6e22704aDe1861B0dF3BaC9585,41831604,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,0x3faBe6F79f5119336886bbbDfc0B0853DC831919,2800710176558647798827,0,3000000000000000000000
16,Deposit,165,50,0xf461063819fFBC6e22704aDe1861B0dF3BaC9585,41983336,0xC9a037ea11BB2977aD994f3facC0Fa050E64B0Fa,0xC9a037ea11BB2977aD994f3facC0Fa050E64B0Fa,232277732395421045300,0,249000000000000000000
17,Deposit,305,74,0xf461063819fFBC6e22704aDe1861B0dF3BaC9585,41987137,0xFFc14dF86148C538e149283d33FE0ac141e755F1,0xFFc14dF86148C538e149283d33FE0ac141e755F1,143625729245107115623,0,154000000000000000000
18,Deposit,273,61,0xf461063819fFBC6e22704aDe1861B0dF3BaC9585,42060062,0xA5cE107711789b350e04063D4EffBe6aB6eB05a4,0x210c09B2390ee03Ee86dD8bb736BDA2F31AaB57F,9293001979475915,0,10000000000000000
