,vault,token0,token1,token0_symbol,token1_symbol,allowed_token,allowed_token_n,deployment_block_number,deployment_block_timestamp,first_deposit_block_number,first_deposit_block_timestamp,days_since_first_deposit,days_since_deployment,irr,irr_hold,irr_uniswap,days_horizon,vault_token_ratio
0,0x21e6910a769d10ef4236107493406a9788c758a3,0x692AC1e363ae34b6B489148152b12e2785a3d8d6,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,TRADE,USDT,TRADE,0,37667226,1672846414,37678381,1672871719,86.87398148148148,87.16686342592592,24.867358663474345,-0.7040500213206222,-0.769950564141217,{},"{'current': 30518134346008.887, 'start': 14070436605647.873}"
1,0x3ac9b3db3350a515c702ba19a001d099d4a5f132,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,USDC,WETH,USDC,0,37078648,1671585884,37204653,1671855343,98.6375925925926,101.75633101851852,0.13847115208328376,1.2453834848454015,1.0878476026364954,{},"{'current': 1.2616728862578249e-09, 'start': 1.2182216282467202e-09}"
2,0x4aef5144131db95c110af41c8ec09f46295a7c4b,0x111111517e4929D3dcbdfa7CCe55d30d4B6BC4d6,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,ICHI,WBTC,WBTC,1,26511416,1648582952,26550667,1648669594,366.9911689814815,367.9939699074074,0.15175960726103033,-0.45545334066712706,-0.7056591206386603,{},"{'current': 1.1526477005088727, 'start': 1}"
3,0x5394eb43700ce8fbbf4cb83e8b52ea73b71426b6,0x111111517e4929D3dcbdfa7CCe55d30d4B6BC4d6,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,ICHI,WBTC,ICHI,0,39523028,1676925899,39524709,1676929572,39.90809027777778,39.95060185185185,0.11943178726657044,2.9972058988603925,2.648499058096107,{},"{'current': 59623790184851.74, 'start': 58892815076560.66}"
4,0x5a0834ebafdf97db54f45a43290b6b09d4226ec6,0x111111517e4929D3dcbdfa7CCe55d30d4B6BC4d6,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,ICHI,WETH,ICHI,0,38521481,1674677252,38790368,1675270542,59.10982638888889,65.97660879629629,2.1262446152177614,1.9121874778802184,1.690958543228065,{},"{'current': 436.41567308097837, 'start': 362.85572542703534}"
5,0x692437de2cae5addd26ccf6650cad722d914d974,0x53E0bca35eC356BD5ddDFebbD1Fc0fD03FaBad39,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,LINK,WETH,LINK,0,39530703,1676942878,39590712,1677077236,38.19901620370371,39.75408564814815,0.5134948822270824,0.6580334127978127,0.6370955339389819,{},"{'current': 228.78935771639172, 'start': 219.07859198805636}"
6,0x70aa3c8e256c859e52c0b8c263f763d9051b95e1,0x111111517e4929D3dcbdfa7CCe55d30d4B6BC4d6,0x43Df9c0a1156c96cEa98737b511ac89D0e2A1F46,ICHI,GOVI,GOVI,1,33067609,1663102597,33281606,1663548342,194.7834375,199.94252314814815,-0.0986076078279634,-0.541837151763495,-0.6575114470878707,{},"{'current': 0.9461056799721382, 'start': 1}"
7,0x711901e4b9136119fb047abe8c43d49339f161c3,0x111111517e4929D3dcbdfa7CCe55d30d4B6BC4d6,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,ICHI,USDC,USDC,1,28837672,1653666206,28936150,1653878733,306.7002083333333,309.1600115740741,0.35107150900249473,9.022140929509826,3.5737263671302877,{},"{'current': 1.2876732652737304, 'start': 1}"
8,0x74f9d8861d42ac09759ade7809a67cf053dc7ba5,0x0b3F868E0BE5597D5DB7fEB59E1CADBb0fdDa50a,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,SUSHI,WETH,SUSHI,0,39530849,1676943222,39589713,1677075050,38.22431712962963,39.75010416666667,1.4023289268174453,5.202588426903643,4.356132248582662,{},"{'current': 1287.079384147133, 'start': 1174.2049844079563}"
9,0x8ac3d7cd56816da9fb45e7640aa70a24884e02f7,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x85955046DF4668e1DD369D2DE9f3AEB98DD2A369,WETH,DPI,DPI,1,39530383,1676942166,39589815,1677075266,38.22181712962963,39.76232638888889,0.49192681497528556,1.6674140758832072,1.54816324507027,{},"{'current': 1.0427840323459556, 'start': 1}"
10,0x9ff3c1390300918b40714fd464a39699ddd9fe00,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WMATIC,WETH,WMATIC,0,39530789,1676943094,39589655,1677074894,38.22612268518518,39.75158564814815,0.603758031307168,3.9883750252667367,3.4421871078868085,{},"{'current': 1263.718878038769, 'start': 1202.7253535728967}"
11,0xb05be549a570e430e5dde4a10a0d34cf09a7df21,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,USDC,WETH,WETH,1,40303030,1678722257,40308016,1678733726,19.02667824074074,19.159421296296298,-0.16413388409852592,-0.5046840985535936,-0.5112553449901349,{},"{'current': 0.9906976934437193, 'start': 1}"
12,0xe5bf5d33c617556b91558aafb7beadb68e9cea81,0x111111517e4929D3dcbdfa7CCe55d30d4B6BC4d6,0x1f194578e7510A350fb517a9ce63C40Fa1899427,ICHI,oneBTC,oneBTC,1,26511192,1648582492,26523742,1648609505,367.6866435185185,367.99929398148146,0.1361392575224487,-0.47285413476118354,-0.7754305689848008,{},"{'current': 1.1372071452862929, 'start': 1}"
