vault,tvl,token0_symbol,token1_symbol,allowed_token,days_since_first_deposit,qty_hold,qty_vault,return_rate,irr_cashflow,irr_cashflow_non_zero,
0xf3de925524ce6bba606107cfcb2a7a6259cd01ea,8691,GHST,WETH,GHST,137,1000,1438.7,43.9,175.7,175.7614324,175.7
0xa777b0f7f746e93ad30292e9a07b4e336f9511a1,24497,fxWEN,WETH,fxWEN,58,1000,2449.3,144.9,69.7,69.72068137,70.14
0x74f9d8861d42ac09759ade7809a67cf053dc7ba5,28218,SUSHI,WETH,SUSHI,137,1000,1247.4,24.7,62.3,62.36691649,62.19
0xf461063819ffbc6e22704ade1861b0df3bac9585,22142,WETH,BAL,BAL,137,1000,1147.3,14.7,39.8,41.235685,39.77
0xf7b1ab2545451b60345fa3ab8c5210d53c703c98,20491,CRV,WETH,CRV,118,1000,1095,9.5,20.5,20.54730549,19.78
0x8ac3d7cd56816da9fb45e7640aa70a24884e02f7,7492,WETH,DPI,DPI,137,1000,1070.9,7.1,15.8,42.96651939,15.67
0x6bd9239e675092306833c0b29aa552e64d885599,119975,WETH,POP,POP,63,1000,1015.2,1.5,12.7,12.66437255,
0xc9c785d61455a44e9281c60d19e97a5fdd858510,19935,ICHI,USDC,ICHI,158,1000,1199.3,19.9,7.2,7.200873084,
0x5a0834ebafdf97db54f45a43290b6b09d4226ec6,27189,ICHI,WETH,ICHI,158,1000,1220.6,22.1,6.8,6.784944638,
0xac6c0264511eeec305da9afc2e1aba08409f99f6,22694,WMATIC,ICHI,ICHI,139,1000,1023.2,2.3,6.2,6.231457811,
0x5394eb43700ce8fbbf4cb83e8b52ea73b71426b6,29262,ICHI,WBTC,ICHI,139,1000,1027.3,2.7,6.2,6.197900722,
0x9ff3c1390300918b40714fd464a39699ddd9fe00,755285,WMATIC,WETH,WMATIC,137,1000,1089.3,8.9,5.7,5.67670985,
0x70aa3c8e256c859e52c0b8c263f763d9051b95e1,,ICHI,GOVI,GOVI,294,1000,1030.5,3,3.9,3.917467089,
0xdd2521755a8eb05c41c819488d1890e32feb8753,15879,wstETH,WETH,wstETH,42,1000,1016,1.6,3.2,3.340953376,
0xe5bf5d33c617556b91558aafb7beadb68e9cea81,,ICHI,oneBTC,oneBTC,467,1000,1058.2,5.8,2.1,0.84554909,
0x9c90975b13d04d7d535359887c236ac51f2298ce,276901,wstETH,FBX,wstETH,33,1000,1014.4,1.4,1.9,1.896754944,
0x4aef5144131db95c110af41c8ec09f46295a7c4b,22134,ICHI,WBTC,WBTC,466,1000,1071.3,7.1,1.5,1.208503097,
0x692437de2cae5addd26ccf6650cad722d914d974,908197,LINK,WETH,LINK,137,1000,1090.1,9,0.4,-3.925355919,
0xfc089714519e84b7ce0a4023bfee0d99f6d767da,13222,WBTC,WETH,WBTC,118,1000,963.2,-3.7,-8.6,-8.885073736,
0x711901e4b9136119fb047abe8c43d49339f161c3,5180,ICHI,USDC,USDC,406,1000,1222.5,22.3,-8.9,6.115478631,
0x764c3a611ba0f55be1c7109cdd500e301e0044ba,0,WETH,FBX,WETH,40,1000,0,,-11.5,,
0xb05be549a570e430e5dde4a10a0d34cf09a7df21,27435,USDC,WETH,WETH,118,1000,967.1,-3.3,-12.8,-11.17664106,
0x3ac9b3db3350a515c702ba19a001d099d4a5f132,32173,USDC,WETH,USDC,198,1000,1031.2,3.1,-33.2,-3.433601916,
0x21e6910a769d10ef4236107493406a9788c758a3,2,TRADE,USDT,TRADE,186,1000,2301.3,130.1,-59.5,2293.461917,
