n_row,block_number,vault_addr,token_n,vault_token_ratio,amount_per_share,diff_ratio
0,39589655,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,token0,1202.7253535728967,1202.7253535728967,0.0
1,39596382,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,token0,1207.3040673400424,1207.3041752307727,-0.00010789073030537111
2,39786283,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,token0,1212.089470907736,1213.4819299269222,-1.3924590191861625
3,39786518,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,token0,1212.1904679454055,1213.4561181518948,-1.2656502064892265
4,39787107,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,token0,1212.3097325909932,1213.4025939007668,-1.0928613097735251
5,39866964,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,token0,1213.6858664235717,1215.3644552581097,-1.6785888345380044
6,40308875,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,token0,1230.7896613812677,1231.1137589792156,-0.3240975979479117
7,40574178,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,token0,1248.237031143407,1249.3173197879835,-1.0802886445765125
8,40651794,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,token0,1250.5366499877982,1258.0192291030453,-7.482579115247063
9,40689761,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,token0,1255.2909948081274,1255.7713529561058,-0.4803581479784498
10,40721888,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,token0,1256.4778925155053,1256.9776878294842,-0.4997953139788933
11,40722351,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,token0,1256.6649290590215,1258.3805721512779,-1.715643092256414
12,40791756,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,token0,1257.7336833589675,1258.6869254276237,-0.9532420686562091
13,40953510,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,token0,1262.7621012940251,1264.4577294748087,-1.6956281807836149
14,41027954,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,token0,1263.6418389394937,1264.0519234015171,-0.41008446202340565
0,39590712,0x692437de2cAe5addd26CCF6650CaD722d914d974,token0,219.07859198805636,219.07859198805636,0.0
1,39596440,0x692437de2cAe5addd26CCF6650CaD722d914d974,token0,221.05907705189372,221.05909920698224,-2.215508851577397e-05
2,39786201,0x692437de2cAe5addd26CCF6650CaD722d914d974,token0,223.31902324539843,223.49212875242765,-0.17310550702922
3,39920989,0x692437de2cAe5addd26CCF6650CaD722d914d974,token0,224.05863430255678,224.3112339463966,-0.25259964383982947
4,40309088,0x692437de2cAe5addd26CCF6650CaD722d914d974,token0,226.7069969909263,226.71474961342247,-0.0077526224961559365
5,40738564,0x692437de2cAe5addd26CCF6650CaD722d914d974,token0,228.9717067827398,228.97170678277251,-3.271338755439501e-11
6,40791721,0x692437de2cAe5addd26CCF6650CaD722d914d974,token0,229.73028510410794,229.94004768454647,-0.2097625804385359
7,40870158,0x692437de2cAe5addd26CCF6650CaD722d914d974,token0,230.6352352661143,230.8289575819416,-0.19372231582730137
8,41027372,0x692437de2cAe5addd26CCF6650CaD722d914d974,token0,228.81731154335907,228.85012542630676,-0.03281388294769272
0,33281606,0x70Aa3c8e256c859e52c0B8C263f763D9051B95e1,token1,1.0,1.0,0.0
1,33346008,0x70Aa3c8e256c859e52c0B8C263f763D9051B95e1,token1,0.9999999999999999,1.0,-1.1102230246251565e-16
2,33673290,0x70Aa3c8e256c859e52c0B8C263f763D9051B95e1,token1,1.0,1.0,0.0
3,36766616,0x70Aa3c8e256c859e52c0B8C263f763D9051B95e1,token1,1.0878896167409031,1.0880965468133867,-0.00020693007248362427
4,40921414,0x70Aa3c8e256c859e52c0B8C263f763D9051B95e1,token1,0.9330941098666947,0.933094109866748,-5.3290705182007514e-14
0,39589945,0xf461063819fFBC6e22704aDe1861B0dF3BaC9585,token1,1.0,1.0,0.0
1,39596306,0xf461063819fFBC6e22704aDe1861B0dF3BaC9585,token1,1.0,1.0,0.0
2,39786174,0xf461063819fFBC6e22704aDe1861B0dF3BaC9585,token1,1.0031434069583762,1.0032271605970635,-8.375363868728947e-05
3,40308725,0xf461063819fFBC6e22704aDe1861B0dF3BaC9585,token1,1.0216082119660812,1.021612008712557,-3.796746475881463e-06
4,40738484,0xf461063819fFBC6e22704aDe1861B0dF3BaC9585,token1,1.0346380661635164,1.034638066163559,-4.263256414560601e-14
5,40870220,0xf461063819fFBC6e22704aDe1861B0dF3BaC9585,token1,1.0297491336386075,1.030729961311389,-0.0009808276727814036
0,39589923,0xf3De925524cE6bBa606107CFCB2A7A6259CD01EA,token0,995.3106037414219,995.3106037414219,0.0
1,39591492,0xf3De925524cE6bBa606107CFCB2A7A6259CD01EA,token0,998.0000904458865,998.00143882477,-0.001348378883562873
2,39596192,0xf3De925524cE6bBa606107CFCB2A7A6259CD01EA,token0,998.1905546864673,998.199700443977,-0.009145757509713803
3,39786186,0xf3De925524cE6bBa606107CFCB2A7A6259CD01EA,token0,1010.1909694196016,1010.4033003600555,-0.21233094045385315
4,39918740,0xf3De925524cE6bBa606107CFCB2A7A6259CD01EA,token0,1014.2461097036395,1014.246109703701,-6.150457920739427e-11
5,40017232,0xf3De925524cE6bBa606107CFCB2A7A6259CD01EA,token0,1012.5783232040649,1013.3534059668733,-0.775082762808438
6,40302770,0xf3De925524cE6bBa606107CFCB2A7A6259CD01EA,token0,1067.1799538591447,1070.6072876913981,-3.427333832253453
7,40309033,0xf3De925524cE6bBa606107CFCB2A7A6259CD01EA,token0,1069.2405658443395,1069.2405658443429,-3.410605131648481e-12
0,28936150,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.0,1.0,0.0
1,28941155,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.0000000000000002,1.0,2.220446049250313e-16
2,29050863,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.0,1.0,0.0
3,29050952,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.0000000000000002,1.0,2.220446049250313e-16
4,29095385,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.0000000000000002,1.0,2.220446049250313e-16
5,29137870,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.0000000000000002,1.0,2.220446049250313e-16
6,29248991,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.0,1.0,0.0
7,29298625,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.017171387100095,1.0171713861938156,9.062792738490089e-10
8,29304226,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.0188471473033345,1.0188471394027898,7.900544662930997e-09
9,29304279,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.0188471435837987,1.0188471394050422,4.178756451977961e-09
10,29320426,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.0194471786190467,1.0194471793812423,-7.621956399361807e-10
11,29375783,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.0191159492388984,1.0193426515691164,-0.00022670233021804265
12,29465755,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.0159809278858463,1.0160135652503255,-3.2637364479226605e-05
13,29547964,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,0.9388002911519074,0.9388002890233962,2.1285112561386654e-09
14,31290999,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.1540573751787788,1.1540573739541473,1.224631507312779e-09
15,32743762,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.2092712412988118,1.2092758424349086,-4.601136096793468e-06
16,32900710,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.2497192665390946,1.2497427857527803,-2.351921368570764e-05
17,33450812,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.2344912823754322,1.2344912213392372,6.103619498709634e-08
18,33651563,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.2358263428047405,1.2358262805819147,6.222282578072225e-08
19,33671268,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.2301392889593876,1.2301392738409445,1.511844316404165e-08
20,33723799,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.249478625716587,1.2494785738489542,5.1867632855362444e-08
21,33805077,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.2480759308969198,1.2483634703921243,-0.00028753949520443634
22,33945241,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.2558661149349397,1.2558660621846047,5.2750334988971304e-08
23,34005887,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.2602324975228,1.2602324349869611,6.25358389516606e-08
24,34147055,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.2599831679751021,1.2599831260169445,4.1958157614985225e-08
25,34189020,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.2571922359738876,1.257915793870612,-0.0007235578967244027
26,34515941,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.2643028692594478,1.264302849293544,1.9965903819141317e-08
27,34847397,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.2931052537794323,1.2931052359339112,1.7845521060877445e-08
28,36424941,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.2237342151533193,1.2237341623693647,5.27839545405584e-08
29,38088867,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.2663687340083647,1.2675789932085626,-0.0012102592001979051
30,38096405,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.2594434965854953,1.2594437288938223,-2.3230832701948145e-07
31,40121774,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.264344666490266,1.264344781764608,-1.1527434207181386e-07
0,37204653,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,token0,1.2182216282467202e-09,1.2182216282467202e-09,0.0
1,37204663,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,token0,1.218342963072359e-09,1.2183434504095442e-09,-4.873371851614564e-16
2,38096466,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,token0,1.2267391807402165e-09,1.2271057829237496e-09,-3.6660218353308707e-13
3,38472899,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,token0,1.2391876414853312e-09,1.2397501063172592e-09,-5.624648319280314e-13
4,38832996,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,token0,1.2581194038831121e-09,1.2622829123558702e-09,-4.163508472758068e-12
5,38876406,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,token0,1.2573222441518217e-09,1.2573272505881713e-09,-5.006436349568028e-15
6,38877483,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,token0,1.2574647195177275e-09,1.258099820534486e-09,-6.35101016758414e-13
7,38925918,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,token0,1.2596540225851673e-09,1.259773763595271e-09,-1.1974101010361801e-13
8,38972037,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,token0,1.2615943909311414e-09,1.262098927719431e-09,-5.045367882896105e-13
9,39108659,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,token0,1.2516965244904074e-09,1.2589626454145919e-09,-7.266120924184497e-12
10,39108829,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,token0,1.2521089483506986e-09,1.2595190134875359e-09,-7.41006513683724e-12
11,39109351,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,token0,1.2532797156101068e-09,1.2533304541340198e-09,-5.073852391295038e-14
12,39109980,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,token0,1.2544576626547559e-09,1.2572530969334633e-09,-2.7954342787074635e-12
13,39466491,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,token0,1.2765082244819662e-09,1.2766989456556497e-09,-1.9072117368355022e-13
14,39510165,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,token0,1.2792437870523586e-09,1.2830841704041425e-09,-3.840383351783918e-12
15,39558254,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,token0,1.276634658116032e-09,1.2788940560702688e-09,-2.2593979542367257e-12
16,39778618,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,token0,1.2668589331728155e-09,1.2669630518842778e-09,-1.0411871146227509e-13
17,39813620,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,token0,1.2680145065546657e-09,1.2682542765441621e-09,-2.397699894964609e-13
18,39889356,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,token0,1.2699960879437094e-09,1.2718307538342412e-09,-1.8346658905318746e-12
19,40574110,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,token0,1.2466332774924797e-09,1.2471113835004242e-09,-4.78106007944514e-13
20,40698096,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,token0,1.256900536841992e-09,1.2595235191536364e-09,-2.6229823116444985e-12
21,40888746,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,token0,1.2566341469268244e-09,1.258158507344615e-09,-1.5243604177907244e-12
22,40911466,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,token0,1.2585008711406662e-09,1.2586128539947777e-09,-1.119828541114747e-13
23,40991090,0x3ac9b3db3350A515c702ba19a001d099d4a5F132,token0,1.2625597625100345e-09,1.2628104718525944e-09,-2.5070934255988185e-13
0,40309302,0xf7B1ab2545451b60345FA3aB8C5210d53c703c98,token0,1682.655702794481,1682.655702794481,0.0
1,40349295,0xf7B1ab2545451b60345FA3aB8C5210d53c703c98,token0,1683.1605300875985,1683.1605499866707,-1.9899072185580735e-05
2,40350034,0xf7B1ab2545451b60345FA3aB8C5210d53c703c98,token0,1684.377629924976,1690.5823814332443,-6.204751508268373
3,40386973,0xf7B1ab2545451b60345FA3aB8C5210d53c703c98,token0,1695.8664386735984,1697.5412860886909,-1.6748474150924721
4,40738662,0xf7B1ab2545451b60345FA3aB8C5210d53c703c98,token0,1714.4349675658498,1714.4349675659514,-1.0163603292312473e-10
5,40807930,0xf7B1ab2545451b60345FA3aB8C5210d53c703c98,token0,1713.2651043227715,1714.106463478187,-0.8413591554153754
0,40308016,0xB05bE549a570e430e5ddE4A10a0d34cf09a7df21,token1,0.9999999999999998,1.0,-2.220446049250313e-16
1,40354915,0xB05bE549a570e430e5ddE4A10a0d34cf09a7df21,token1,1.0014642574825898,1.00146425748259,-2.220446049250313e-16
2,40355101,0xB05bE549a570e430e5ddE4A10a0d34cf09a7df21,token1,1.0014641666042763,1.0014641666042765,-2.220446049250313e-16
3,40358684,0xB05bE549a570e430e5ddE4A10a0d34cf09a7df21,token1,1.00167302954156,1.0016741661787345,-1.1366371746035497e-06
4,40378418,0xB05bE549a570e430e5ddE4A10a0d34cf09a7df21,token1,1.0036971027033752,1.0036971027034427,-6.750155989720952e-14
5,40836736,0xB05bE549a570e430e5ddE4A10a0d34cf09a7df21,token1,1.0001190938347113,1.0001190938348488,-1.3744561044859438e-13
6,40921360,0xB05bE549a570e430e5ddE4A10a0d34cf09a7df21,token1,0.9927707683670488,0.9929145513548283,-0.00014378298777950604
0,39589713,0x74F9d8861D42Ac09759aDE7809A67cF053dc7bA5,token0,1174.2049844079563,1174.2049844079563,0.0
1,39596229,0x74F9d8861D42Ac09759aDE7809A67cF053dc7bA5,token0,1179.500334093041,1179.5005481466128,-0.00021405357188086782
2,39786269,0x74F9d8861D42Ac09759aDE7809A67cF053dc7bA5,token0,1195.248948345559,1197.009315659068,-1.7603673135090503
3,40116714,0x74F9d8861D42Ac09759aDE7809A67cF053dc7bA5,token0,1213.3791770394296,1222.016201401547,-8.637024362117472
4,40302785,0x74F9d8861D42Ac09759aDE7809A67cF053dc7bA5,token0,1234.2215197580954,1244.0780652964338,-9.856545538338423
5,40306240,0x74F9d8861D42Ac09759aDE7809A67cF053dc7bA5,token0,1235.3245291066758,1238.240612514374,-2.916083407698352
6,40309260,0x74F9d8861D42Ac09759aDE7809A67cF053dc7bA5,token0,1236.7175554802502,1242.7250633652968,-6.007507885046607
7,40338848,0x74F9d8861D42Ac09759aDE7809A67cF053dc7bA5,token0,1244.2202203096588,1249.0732082049296,-4.852987895270871
8,40697775,0x74F9d8861D42Ac09759aDE7809A67cF053dc7bA5,token0,1275.1166128097327,1282.292157343591,-7.175544533858329
