n_row,block_number,vault_addr,token_n,vault_token_ratio,amount_per_share,diff_ratio
0,39786637,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,token0,1212.1116016461979,1157.825990311614,54.28561133458379
1,40727548,0x9ff3C1390300918B40714fD464A39699dDd9Fe00,token0,1256.5591491475122,1136.2997762415819,120.25937290593038
0,40174011,0x692437de2cAe5addd26CCF6650CaD722d914d974,token0,224.8549221632694,182.30802423283546,42.54689793043394
0,34832487,0x70Aa3c8e256c859e52c0B8C263f763D9051B95e1,token1,1.0199589253089882,0.5113171888704453,0.5086417364385429
1,38186060,0x70Aa3c8e256c859e52c0B8C263f763D9051B95e1,token1,0.8959166628970017,0.6941654390410337,0.201751223855968
0,39996280,0xf3De925524cE6bBa606107CFCB2A7A6259CD01EA,token0,1012.7651585164499,922.2062896817315,90.5588688347184
1,40173997,0xf3De925524cE6bBa606107CFCB2A7A6259CD01EA,token0,1037.253848038653,888.5232766811381,148.7305713575148
0,29050922,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.0000000000000002,1.0,2.220446049250313e-16
1,29248473,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.0000000000000002,1.0,2.220446049250313e-16
2,29324326,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.019432025188732,0.9689255916420318,0.05050643354670026
3,29375408,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.0191146557323063,0.9674085212911683,0.05170613444113803
4,29473580,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.0163411743902044,0.8579519083499338,0.1583892660402706
5,29513267,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.0009844868137272,0.6689681171424122,0.332016369671315
6,29520418,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,0.9486045470247216,0.6171752537676578,0.33142929325706383
7,29548352,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,0.9388002920972446,0.7175747668382342,0.2212255252590104
8,29548373,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,0.9388002914971164,0.7175747774234511,0.2212255140736653
9,30550789,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.0561411929198739,0.6721717199908063,0.3839694729290676
10,32900661,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.249719266512571,0.7930247137245429,0.45669455278802806
11,33561654,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.2356492009076245,0.7145973855239913,0.5210518153836332
12,33561687,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.2357311393726345,0.7145973855239913,0.5211337538486431
13,33561870,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.235897427196752,0.7145973871622707,0.5213000400344813
14,35218048,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.309545997746001,1.1133457449414532,0.19620025280454767
15,35428043,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.1937482223558238,0.7658202655810392,0.42792795677478457
16,36424755,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.2237342152991613,0.8790002568609409,0.3447339584382204
17,37702139,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.1960858838710589,0.8157464563612642,0.38033942750979466
18,37729184,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.1882557688983624,0.8073194919347825,0.3809362769635799
19,38088887,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.2663191649495484,0.9761428466593024,0.29017631829024604
20,38186086,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.2801541977254418,1.1171366630786514,0.16301753464679036
21,38491105,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.293421107314092,0.9369953026807853,0.35642580463330664
22,39109280,0x711901e4b9136119Fb047ABe8c43D49339f161c3,token1,1.2824034869771455,1.017182186717827,0.26522130025931845
