evt_block_number,evt_index,evt_tx_hash,inp_owner,inp_ticklower,inp_tickupper,inp_amount,inp_amount0,inp_amount1,inp_recipient,inp_liquidity,inp_tick,liquidity,amount0,amount1,pool_liquidity
12376729,106,0x125e0b641d4a4b08806bf52c0c6757648c9963bcda8681e4f996f09e00d4c2cc,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,191150.0,198080.0,345073104699360.0,2995507735,999999999871526500,,,,345073104699360,2995507735,999999999871526500,345073104699360
12376891,73,0x0804ff007263a885191f23c808a9346e62d502a1fc23be82eb14052408d76ae2,,,,,-119744094,35000000000000000,0xE592427A0AEce92De3Edee1F18E0157C05861564,345073104699360.0,194996.0,,2875763641,1034999999871526500,345073104699360
12376958,122,0x7258050fbb90fa41f73505c552a973113ffc87c67ddd19b37dff7adb6bded18e,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,191150.0,198080.0,-310565794229424.0,-2588187276,-931484249884373900,,,,34507310469936,287576365,103515749987152600,34507310469936
12376958,124,0x7258050fbb90fa41f73505c552a973113ffc87c67ddd19b37dff7adb6bded18e,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,191150.0,198080.0,0.0,0,0,,,,34507310469936,287576365,103515749987152600,34507310469936
12377035,195,0xa564ea4677bda271bbb2eebec9774577b9b101c46eafa73727a9f0e222e77cc0,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,194990.0,195010.0,25652705721581.0,1000000,145737680853531,,,,60160016191517,288576365,103661487668006131,60160016191517
12377266,286,0xef93747acabe06ab11f663321f0de466bf9ae35888baf7bd9f6baad12e90037e,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,186730.0,195460.0,447994594415865.0,598469729,2599999995846641700,,,,508154610607382,887046094,2703661483514647831,508154610607382
12377278,240,0x53d4bc1240410e1c7907b8049f2355e226f5fcae8c1697103d8c439212a115d3,,,,,499756414,-144241064315415170,0xE592427A0AEce92De3Edee1F18E0157C05861564,482501904885801.0,194645.0,,1386802508,2559420419199232661,482501904885801
12377308,355,0x5f066eb8fefba0d1b491ffb924b708dc24158192a77fdb92db01f0aab3eed0ef,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,194660.0,194990.0,3508224747038658.0,3405610348,0,,,,4016379357646040,4792412856,2559420419199232661,482501904885801
12377327,105,0x5184d8d442ac1696e9f7fb89c31db8c1de8ae9c80f3e9dd8f2c9990c0b32a579,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,194640.0,194660.0,3.5118767990408024e+16,1549658850,151652526935341120,,,,39135147348054064,6342071706,2711072946134573781,35601269895293825
12377345,133,0x730978754a9a3db693148ac99b5d807555b2e7c1d6644817c72ad1153f6bc0e4,,,,,365000000,-103492428467657970,0xE592427A0AEce92De3Edee1F18E0157C05861564,3.5601269895293824e+16,194641.0,,6707071706,2607580517666915811,35601269895293825
