contract_address,evt_block_number,evt_tx_hash,evt_index,inp_owner,inp_ticklower,inp_tickupper,inp_amount,inp_amount0,inp_amount1
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12376958,0x7258050fbb90fa41f73505c552a973113ffc87c67ddd19b37dff7adb6bded18e,122,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,191150,198080,310565794229424,2588187276,931484249884373900
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12376958,0x7258050fbb90fa41f73505c552a973113ffc87c67ddd19b37dff7adb6bded18e,124,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,191150,198080,0,0,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12378139,0x0071c57b5c72215b9eb61237306078b0d66bc4b7477f2ad6367511c14caf13bd,281,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,194750,194790,1499570648517615,0,50832403254742610
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12378381,0x65604668f6fdfbccbeb35a21f007bebf6818132da39f9b42cde97dd8575df104,185,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,194660,194990,3508224747038658,2196096821,345697133216421570
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12378701,0x70e43fee246eb5820c625627aecde047c8b3296297ed6337adbff1e459162285,400,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,276320,276330,2000197335909935,999999,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12378975,0x52aedef3b34b14b0af2f63b205bc61fde5e529aee2d93191490c5d03fbf0c57e,305,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,194640,194660,35118767990408024,0,591666931208717400
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12379404,0x641cf4b2131515ee408e2b869660627023793f877ccbea283b31be49b16f1ad6,384,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,223340,230270,96598418924930,399999999,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12381171,0xe59121c20bca00ca943ba2ce7b714e4d0a05aaece49873cfb8c2e0d2a825cecd,330,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,186730,195460,447994594415865,844518248,2528365289342729000
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12384559,0x26bbb0f5eec5930ab9b5319e4c02a6caeb257ff219e757a42fad5dc9ca7cb832,158,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,191150,198680,34146802946959,339483650,101110504989477680
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12384601,0x34a244f676e553b5eca4655ab5e3331fb8e2ca27b842cc97fbb86323bd619935,25,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,193380,196260,4828391768114933,18329786827,6108217281320156000
