contract_address,evt_block_number,evt_tx_hash,evt_index,inp_sender,inp_recipient,inp_amount0,inp_amount1,inp_paid0,inp_paid1
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13118245,0x8e8d11de5c24d0d0ec33ad12fed4477e27e679aee09fe4f4be95ec8f643228cd,23,0x00000000bC86D3681b2C13670B6f0ba9A4B3e318,0x00000000bC86D3681b2C13670B6f0ba9A4B3e318,0,1866260541254774000,0,933130270627388
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13173820,0xf8461c65f8d0e86a74e3b0d21292443fe435d752f44bbe77b4d3b3bc242f2b0f,24,0x00000000bC86D3681b2C13670B6f0ba9A4B3e318,0x00000000bC86D3681b2C13670B6f0ba9A4B3e318,0,6758013171129040000,0,3379006585564521
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13200165,0x446bf8364157dd9fe218577a4d88a81a2429725467d7ebec91cc70ca3c6b88fb,11,0x00000000bC86D3681b2C13670B6f0ba9A4B3e318,0x00000000bC86D3681b2C13670B6f0ba9A4B3e318,0,1179373778550984200,0,589686889275493
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13512599,0x8ac7ce52a5b53580df84028e9f73ba6b593911a277ff9a9ebe473197dd82ba77,55,0x4326dfA3bD263EeC798378F4C9E219f080f705E0,0x4326dfA3bD263EeC798378F4C9E219f080f705E0,454615144282,0,227307573,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13512603,0xae2e8e74c15dc017cdaa507415610ac8abf04210dd2f18606515787eb649eabc,353,0xa9E6e732E9A20aE83278fC597aA7162cfb25CD30,0xa9E6e732E9A20aE83278fC597aA7162cfb25CD30,3079717913752,0,1539858957,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13512610,0xa9b2aed139ea46ec1d3a513ae1a182acabde64190116ac77f8ddc8eecdd8cd09,359,0xFB16d1F951478B1877D2844c0a53fcd17F1a597c,0xFB16d1F951478B1877D2844c0a53fcd17F1a597c,210201198254,0,105100600,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13513138,0x800f10600e18f9e4cdfe94a50e960040e9b2c0f618ae6a0739026c1af3007817,585,0x6a836c26986918c038a12142B26B1454dd139429,0x6a836c26986918c038a12142B26B1454dd139429,200750181706,0,100375091,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13517230,0x18ec1b958a2ada9c19d2cd0b9bb71daa85df898832f6800a8b1cf905044b9025,53,0xd55C50d52e684ef3d892d1f28b59E5cd660708E8,0xd55C50d52e684ef3d892d1f28b59E5cd660708E8,453079080000,0,226539540,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13518778,0xe6b34454855463dc78181d1d0e4fe27d0441dd28c5c343c38b2099737c21a01b,54,0xd55C50d52e684ef3d892d1f28b59E5cd660708E8,0xd55C50d52e684ef3d892d1f28b59E5cd660708E8,453330725495,0,226665363,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13534107,0x9d1028d3b3c64f3e1f78e38f64bd3e2299d01312dc8078f40e5b2275f1ca06ab,343,0x9b9d6eeD752CfadB9D436c8BA32dE76A4b6f0ac7,0x9b9d6eeD752CfadB9D436c8BA32dE76A4b6f0ac7,2793000000,0,1396500,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13534119,0x9f99b4cc245dbe1c2ad7a926a5d3c5796e8daa392f18f21ae884e68df2242160,280,0x5831714eb2A00E95C1B2a4d7b25E7e54Ca570B59,0x5831714eb2A00E95C1B2a4d7b25E7e54Ca570B59,119721000000,0,59860500,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13534127,0x6c52427b1d6b18bb2b7f6d18b30021b29987d7d89184980769d9482688a3f802,30,0x8918D30dA73F0757a4625C976CeaE801E10cE0a0,0x8918D30dA73F0757a4625C976CeaE801E10cE0a0,201907799999,0,100953900,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13534195,0x429382c9385cd88af43b8c447c47b948c78411bd03f65186878e51ea50793e81,166,0x9138C2807f2EDe7ca7591377170e3fa3Ce5694A2,0x9138C2807f2EDe7ca7591377170e3fa3Ce5694A2,0,10000000000000000000,0,5000000000000000
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13534744,0x814ad3d9f706a1e2e5e1cc7d04e8a09d595df9b076f5e8f48a29ea5f2ba3c1c8,40,0x37fd8194180Cccf23Ab51e608F0e353266a8c8C8,0x37fd8194180Cccf23Ab51e608F0e353266a8c8C8,4500000000000,0,2250000000,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13534834,0xd147f1fe242d2b62243a182cbcd9248dd12e6c802bba569c6e4526b436b27264,422,0xab4f4D8a08642ba024427460cfC69Ca61cf7D6B3,0xab4f4D8a08642ba024427460cfC69Ca61cf7D6B3,947451959999,0,473725980,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13535020,0x9672aa4526a1a64ec1263e276cbad7c78a527ba25af9c6543b9088f32eecc3e4,50,0x0B72Fd2bA78F9ae931c22e7564EDE809EA7663c9,0x0B72Fd2bA78F9ae931c22e7564EDE809EA7663c9,73443599999,0,36721800,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13535252,0xd75b12cf92adec782fea5d128a1d63e02fb2517c45d483ea0ecea425db8a7725,504,0x400B14E40B257F5DA0375B26522974ACd72F75bC,0x400B14E40B257F5DA0375B26522974ACd72F75bC,1521054000000,0,760527000,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13535380,0xa2002d437eaa62081b0b4bfd54bfa8668386f3110749e4fe9598227fd42a75b0,145,0xB7c3cFcdd615A1D117481C4baA0F08A80E137A0c,0xB7c3cFcdd615A1D117481C4baA0F08A80E137A0c,0,258384800000000030000,0,129192400000000020
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13535412,0x828260c2466d63d5d25f8ef3e49735c2e50dab620765814b11fab4ca88239717,116,0x4FD27a7350fc640C07d30B8aF65F6E4c933ed76E,0x4FD27a7350fc640C07d30B8aF65F6E4c933ed76E,3942150000000,0,1971075000,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13535889,0xb52db8e956aad7ca860422edb20b9a42c2acd2fa1003a5792594f4300a34e880,516,0x368183ADfb22E082A4420C6b04A5f6cC7087BE55,0x368183ADfb22E082A4420C6b04A5f6cC7087BE55,10000000000,0,5000000,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13535889,0x72eaecc61564badba9c3d52a5eb40db0f759ed6346c179a584136082e0ccad41,470,0x5544228300365252f138996Da8bf2ae18A6Ea0a1,0x5544228300365252f138996Da8bf2ae18A6Ea0a1,15000000000000,0,7500000000,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13535899,0x59e15a912407283860ee40c8973b54e1384b7a36783ed77310512655bbe04d11,20,0xB67Dcce66389adf0EEb2Da9F7c229FDA1b12eC3c,0xB67Dcce66389adf0EEb2Da9F7c229FDA1b12eC3c,1283691499999,0,641845750,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13535958,0xece412dc9f7df7bc3833c8e44d0d26aff2d9a764bfd624c50c5183d60665f8db,477,0x1078C72E6E28b9252374D18322e14B79BC317232,0x1078C72E6E28b9252374D18322e14B79BC317232,1200000000000,0,600000000,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13536066,0x198e453d95adb45cbe04249b3d5fc57d506dc61d7a2584b05665ac9d4b10df1f,197,0xbDb67A35e4B94C120Ad67F47b09Aa67a47B85925,0xbDb67A35e4B94C120Ad67F47b09Aa67a47B85925,96462000000,0,48231000,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13536088,0x940e0ec9830f337e0529e029aa5831dbb362b3aa75bbed6275e31065bad3f69a,172,0x0d15E3362F19491A7Da5830aC90Ed40B63aE0B26,0x0d15E3362F19491A7Da5830aC90Ed40B63aE0B26,900102000000,0,450051000,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13536132,0x0eb1d30e6db0ab87392ab5b157a1dda5d40cfe2d662cbf9040ac2384583b9988,567,0x368183ADfb22E082A4420C6b04A5f6cC7087BE55,0x368183ADfb22E082A4420C6b04A5f6cC7087BE55,31374376658,0,15687189,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13536208,0x832d822964af49ccf2e052e406ccc435efd0266f2fb5b3f6b192c15fa19fa320,139,0xbDb67A35e4B94C120Ad67F47b09Aa67a47B85925,0xbDb67A35e4B94C120Ad67F47b09Aa67a47B85925,75224839911,0,37612420,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13536575,0xdd5e1aaaf0491eaac051c11ac051f4efd52ea7713637881bab42f59fbad2aadc,382,0x20b7c47B5B526C8369d379748d4c8A9eBc5B4012,0x20b7c47B5B526C8369d379748d4c8A9eBc5B4012,100009000000,0,50004500,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13537573,0xb02d79939a91e0299b678b10f470bb17f7fb37e7974398a387391b6518af9f21,282,0x49B45AC314cA29C485AE1c848405fe77036b980c,0x49B45AC314cA29C485AE1c848405fe77036b980c,27435240000,0,13717620,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13537643,0x87e5d93bf89cbac445a32a96d04c86cf86524d69ebd88fdfe59007b4955c74df,224,0xf264e36c6b6507aF6b02B54e6aAF904dFfe8C785,0xf264e36c6b6507aF6b02B54e6aAF904dFfe8C785,331096499999,0,165548250,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13537672,0xc422835a01b758eb25ffc105b6e119484dcc9e2bfb8e4665ff7abd09a08b30a2,307,0x0f8c60e22AF11eE093a03C855523FC85242593C9,0x0f8c60e22AF11eE093a03C855523FC85242593C9,0,18630000000000000000,0,9315000000000000
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13537688,0x705c352eb4cb8fe7661b6da14882a51d88f7716713543826d9083fd6354a81cb,2375,0xcC6831069d1c8259eaAbAF8F6Ddf4382E4a07Cf7,0xcC6831069d1c8259eaAbAF8F6Ddf4382E4a07Cf7,0,29288854350000000000,0,14644427175000000
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,13538377,0x4668661e18a5ba93515ed77ed12ee548dfd0703f396e7a73e26787ce55db69c9,72,0x55f4Bc524495dA0639D15D3FC2BE87eCFD8c3cF7,0x55f4Bc524495dA0639D15D3FC2BE87eCFD8c3cF7,593789520000,0,296894760,0
