contract_address,evt_block_number,evt_tx_hash,evt_index,inp_sender,inp_owner,inp_ticklower,inp_tickupper,inp_amount,inp_amount0,inp_amount1
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12376729,0x125e0b641d4a4b08806bf52c0c6757648c9963bcda8681e4f996f09e00d4c2cc,106,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,191150,198080,345073104699360,2995507735,999999999871526500
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12377035,0xa564ea4677bda271bbb2eebec9774577b9b101c46eafa73727a9f0e222e77cc0,195,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,194990,195010,25652705721581,1000000,145737680853531
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12377266,0xef93747acabe06ab11f663321f0de466bf9ae35888baf7bd9f6baad12e90037e,286,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,186730,195460,447994594415865,598469729,2599999995846641700
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12377308,0x5f066eb8fefba0d1b491ffb924b708dc24158192a77fdb92db01f0aab3eed0ef,355,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,194660,194990,3508224747038658,3405610348,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12377327,0x5184d8d442ac1696e9f7fb89c31db8c1de8ae9c80f3e9dd8f2c9990c0b32a579,105,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,194640,194660,35118767990408024,1549658850,151652526935341120
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12377429,0x112f8d32c821a10d91d333738b7b5f5db8ce19ed7c7d7bea5fd1d5f20f39816e,37,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,193380,196260,4828391768114933,22181745033,4999999999799242000
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12377645,0xa0ef29c71238e5d91bf4427b242c860e5cfd89d75d2a4ff1cd036da0ef1a3aee,294,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,193380,200310,1092382261109467,15454577376,1282710509619309000
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12378038,0x6e310ed13ea72d30bff67a919754c027cec654a174c8557e444cb6006ffb6659,326,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,194750,194790,1499570648517615,167201379,2790710881979345
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12378075,0x16321f1e501c0411c2d26bfc6c6e40fcaf5ac8f4f6e96850f39d1a8a6e48ce83,156,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-46050,414490,3068914230032,181389532,51921516403623350
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12378260,0x8fc80d2d648112f340b42f1e76c3ce7f52b6c61f10f7304b713d9173b75627a4,211,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,194720,194840,38466559516912,10000000,1033365407263396
