contract_address,evt_block_number,evt_tx_hash,evt_index,inp_sender,inp_recipient,inp_amount0,inp_amount1,inp_sqrtPriceX96,inp_liquidity,inp_tick
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12376891,0x0804ff007263a885191f23c808a9346e62d502a1fc23be82eb14052408d76ae2,73,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,-119744094,35000000000000000,1358206768703179146794161129278934,345073104699360,194996
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12377278,0x53d4bc1240410e1c7907b8049f2355e226f5fcae8c1697103d8c439212a115d3,240,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,499756414,-144241064315415179,1334545912983135722438993170925379,482501904885801,194645
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12377345,0x730978754a9a3db693148ac99b5d807555b2e7c1d6644817c72ad1153f6bc0e4,133,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,365000000,-103492428467657963,1334315597745343730478188229716159,35601269895293825,194641
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12377364,0x121c9e49d7a44eaa01e50070df2e4d8a95aace62ddfe6b42180fae8c783e8164,353,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,-176180828,50000000000000000,1334426813649531849390742241713392,35601269895293825,194643
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12377369,0x26fd434e17ef8607ba00e09292232ebf45687c95603dbf41cd70aa82645bde40,133,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,-514279985,146000000000000000,1334751564089761156615399956745312,35601269895293825,194648
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12377375,0x27c122c4e26c3051d3741fa7350cccfca8064e4b7a8e09cdec8df5650a26aa79,573,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,-2020724832,575000000000000000,1339927351757144388712475515525518,3990726651924459,194725
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12377404,0x6d9dcc2254fcc904bb6966956aba709454e7b9937fb4bb9bbe3829e33155bb10,113,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,925233824,-263498461658450219,1335444149395818012359096858324211,35601269895293825,194658
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12377421,0xff6bae1645206e9f7d7bd0ed3375b158ef5acf6235df12b6f00af4542b9d63b9,313,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,1035730000,-293973943573390213,1334789930727638689866647101237084,35601269895293825,194648
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12377453,0x30cdc191f2b1d9c3e46fb10951c79b4ecd457d1997765782c982ee9bca6de125,183,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x7858E59e0C01EA06Df3aF3D20aC7B0003275D4Bf,-200102390,56829308091103679,1334901240845780480486190334762509,40429661663408758,194650
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12377468,0x5dada9d01fa209590ac2515401dac83c6326884896978a8599ecf3763cbb1550,278,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,1985387610,-562454951913713500,1331122508723781025659082124050660,5310893673000734,194593
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12377475,0x2988e90d2f08ba706fad85b0936be746f5f2704d0bb39944d8ee8315a88a8c53,259,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,-1763491355,500000000000000000,1334778360813737937896075090219020,40429661663408758,194648
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12377480,0x890f2f716915805a3a3c23ac62a7165f0955b0d61dedc7609dba5e73e6295c48,207,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x6018887dA486CDFEd5baEEbfBd1FbbB34f94c7aC,-404588412,114911373266935467,1335003434793411822357203379232748,40429661663408758,194651
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12377486,0x58e71afad7a07de6eb7ef23c7b4cbe65e75a052cb348b7f33813b7d875fa62da,141,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,2000000000,-566850891386685789,1331834890622716328212516692332486,5310893673000734,194604
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12377505,0x6d5ce42064a4fb9b5daa6e28974338bc87bf513d7532291ba5baf0f130dc06dd,116,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xCcA73b3D5Abaa49c656753E789A4ae880d906f98,-2000000000,567418527790587421,1335003991192467988376784209951663,40429661663408758,194651
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12377530,0xd46f2c251a61561f2120d24f8a63cfba9e703b00ce94535bf052eded857b95af,287,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x01F2C533bdB0e09eBFAeB85ac295c3b4D00Feffe,-3868954138,1104441928932683385,1343004819178433089573866726711843,8819118420039392,194771
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12377626,0x7d125654fbfdbced7d9d0b42d5251807a79a7e9278d93012ffd8eb95833d9160,194,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x9328e61C641d946A6C971DeB22EcC4C79aEe19C7,-972148462,280000000000000000,1345518992648522742729651819154667,8819118420039392,194808
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12377637,0x2237e45b75aaa6211ce0b0bfa0609d69c12b40f4e094217324a7f6c1bb8aa0e3,208,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xD6A8A9eaFACCeF0E2F2e87941431712268f5deA1,-100000000,28861662133764411,1345778147024377748475042759425631,8819118420039392,194812
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12377690,0x7e3609e624bcb37f0258f8d8182653b9962e175f6cbbc659cdc41d10a9a46708,295,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,511748797,-147450712444966323,1344599491098877701848127796615707,9911500681148859,194795
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12377694,0xbda5ff65e8753545db745047b06c17d83fed9a8ba0917916d0e3f39d9fd8df70,205,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,1478108570,-424442260061863885,1341206686977695404144000443604310,9911500681148859,194744
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12377702,0x32d7d2334dfa53be97f270468c5599880a34d938a9eb07629ad815c16bec62ea,312,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x88cE2D4fB3cC542F0989d61A1c152fa137486d81,-500000000,143479711561220112,1342353027017779283704275586406777,9911500681148859,194761
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12377703,0xf3fe01a90b97396384223e7ed127134331dde288084acfbc1a65f864387741b9,236,0xE592427A0AEce92De3Edee1F18E0157C05861564,0xE592427A0AEce92De3Edee1F18E0157C05861564,-347976617,100000000000000000,1343151983209989607250401616409451,9911500681148859,194773
